State,Agency Type,Agency Name,Population1,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/ Abduction,Sex Offenses,Rape,Sodomy,Fondling,"Sex Offenses, Nonforcible",Statutory Rape,Arson,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism,Embezzle- ment,Fraud Offenses,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imperson- ation,Wire Fraud,Larceny- Theft Offenses,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Porno- graphy/ Obscene Material,Weapon Law Violations,Total Offenses
MASSACHUSETTS,Cities,Northborough,14329.0,49.0,15.0,34.0,11.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,36.0,5.0,34.0,2.0,13.0,6.0,6.0,4.0,2.0,142.0,2.0,60.0,35.0,1.0,13.0,1.0,33.0,2.0,3.0,3.0,18.0,18.0,12.0,1.0,4.0,511.0
MASSACHUSETTS,Cities,Northbridge,15901.0,109.0,25.0,71.0,13.0,1.0,13.0,5.0,2.0,6.0,17.0,17.0,2.0,112.0,7.0,151.0,3.0,41.0,24.0,4.0,13.0,2.0,364.0,3.0,72.0,31.0,1.0,52.0,4.0,204.0,15.0,2.0,4.0,35.0,35.0,12.0,5.0,5.0,1468.0
MASSACHUSETTS,Cities,North Brookfield,4737.0,32.0,16.0,10.0,6.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,28.0,1.0,16.0,1.0,7.0,4.0,2.0,1.0,2.0,14.0,2.0,2.0,3.0,1.0,14.0,4.0,9.0,4.0,3.0,2.0,14.0,14.0,12.0,2.0,1.0,189.0
MASSACHUSETTS,Cities,North Reading,15182.0,54.0,9.0,29.0,16.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,40.0,3.0,62.0,3.0,39.0,23.0,6.0,10.0,2.0,101.0,2.0,20.0,14.0,1.0,11.0,4.0,52.0,6.0,5.0,6.0,32.0,32.0,12.0,2.0,4.0,581.0
MASSACHUSETTS,Cities,Norton,19222.0,8.0,7.0,1.0,11.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,70.0,5.0,65.0,8.0,12.0,6.0,12.0,4.0,2.0,55.0,2.0,1.0,4.0,1.0,3.0,3.0,44.0,4.0,1.0,3.0,34.0,25.0,12.0,2.0,4.0,300.0
MASSACHUSETTS,Cities,Norwell,10656.0,40.0,7.0,26.0,7.0,2.0,6.0,3.0,2.0,4.0,2.0,2.0,2.0,27.0,5.0,34.0,2.0,18.0,5.0,4.0,9.0,2.0,77.0,2.0,9.0,8.0,1.0,2.0,4.0,58.0,4.0,2.0,1.0,5.0,5.0,12.0,2.0,2.0,356.0
MASSACHUSETTS,Cities,Norwood,29057.0,276.0,16.0,206.0,54.0,2.0,11.0,5.0,2.0,6.0,2.0,2.0,3.0,83.0,18.0,304.0,10.0,124.0,51.0,51.0,22.0,2.0,395.0,2.0,78.0,132.0,1.0,87.0,41.0,57.0,37.0,7.0,9.0,112.0,112.0,12.0,3.0,6.0,2323.0
MASSACHUSETTS,Cities,Oak Bluffs,4631.0,88.0,12.0,68.0,8.0,1.0,6.0,3.0,2.0,4.0,1.0,1.0,2.0,23.0,3.0,47.0,2.0,6.0,6.0,6.0,4.0,2.0,125.0,2.0,19.0,5.0,1.0,14.0,4.0,100.0,8.0,2.0,3.0,17.0,17.0,12.0,1.0,3.0,563.0
MASSACHUSETTS,Cities,Oakham,1926.0,11.0,1.0,2.0,8.0,2.0,6.0,3.0,2.0,4.0,1.0,1.0,2.0,11.0,5.0,5.0,2.0,9.0,7.0,6.0,1.0,1.0,9.0,2.0,10.0,2.0,1.0,14.0,4.0,7.0,1.0,3.0,3.0,2.0,2.0,12.0,2.0,4.0,81.0
MASSACHUSETTS,Cities,Orleans,5939.0,54.0,17.0,32.0,5.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,38.0,8.0,56.0,2.0,19.0,14.0,4.0,1.0,2.0,141.0,5.0,13.0,8.0,1.0,14.0,4.0,113.0,2.0,3.0,10.0,17.0,17.0,12.0,1.0,5.0,584.0
